,country,continent,life_expectancy,population,gdp,per_capita_gdp
112,Moldova,Europe,67.007,4106736,6948597312,1692.0
113,Mongolia,Asia,62.87600000000001,2411369,4863731273,2017.0
114,Montenegro,Europe,74.125,632606,3912668110,6185.0
115,Morocco,Africa,68.22,28793236,88481614228,3073.0
116,Mozambique,Africa,47.472,18200656,9864755552,542.0
117,Myanmar,Asia,62.073,44957660,46486220440,1034.0
118,Namibia,Africa,55.173,1895839,7625064458,4022.0
119,Nepal,Asia,62.055,24400606,25718238724,1054.0
120,Netherlands,Europe,78.24,15862825,523473225000,33000.0
121,New Zealand,Oceania,78.9,3858032,84471610640,21895.0
122,Nicaragua,N. America,69.682,5073704,12633522960,2490.0
123,Niger,Africa,50.692,10922421,6302236917,577.0
124,Nigeria,Africa,46.629,123688536,200251739784,1619.0
125,Norway,Europe,78.76,4490859,193888346466,43174.0
126,Oman,Asia,72.139,2264163,43480986252,19204.0
127,Pakistan,Asia,63.854,144522192,301473292512,2086.0
128,Panama,N. America,75.094,2956126,21890113030,7405.0
129,Papua New Guinea,Oceania,58.749,5378824,9794838504,1821.0
130,Paraguay,S. America,70.07300000000001,5343539,20877206873,3907.0
131,Peru,S. America,70.506,25861887,149766187617,5791.0
132,Philippines,Asia,66.774,77309965,200851289070,2598.0
133,Poland,Europe,73.91,38302444,447372545920,11680.0
134,Portugal,Europe,76.84,10336209,202682722281,19609.0
135,Qatar,Asia,76.68,590957,35690257058,60394.0
136,Romania,Europe,70.47,22191683,157316840787,7089.0
137,Russia,Asia,65.38,146757517,1257711920690,8570.0
138,Rwanda,Africa,47.6425,8098344,5701234176,704.0
139,Saint Lucia,N. America,71.456,157108,1363069008,8676.0
140,Saint Vincent and the Grenadines,N. America,70.6,107891,635801663,5893.0
141,Samoa,Oceania,69.344,176549,722085410,4090.0
142,Sao Tome and Principe,Africa,63.33600000000001,141010,186133200,1320.0
143,Saudi Arabia,Asia,72.40100000000002,20045276,400925565276,20001.0
144,Senegal,Africa,57.817,9505862,14363357482,1511.0
145,Serbia,Europe,72.072,10133561,66952437527,6607.0
146,Seychelles,Africa,71.771,78685,1198372550,15230.0
147,Sierra Leone,Africa,38.12300000000001,4143115,2141990455,517.0
148,Singapore,Asia,78.34,3919300,144363496200,36834.0
149,Slovak Republic,Europe,73.19,5404845,68582078205,12689.0
150,Slovenia,Europe,76.11,1985406,38514890994,19399.0
151,Solomon Islands,Oceania,62.808,408732,736535064,1802.0
152,Somalia,Africa,50.902,7399033,6518548073,881.0
153,South Africa,Africa,55.892,44760380,333643872520,7454.0
154,South Sudan,Africa,49.24800000000001,6994624,13170876992,1883.0
155,Spain,Europe,79.34,40288457,943152778370,23410.0
156,Sri Lanka,Asia,71.078,18745084,56179016748,2997.0
157,Sudan,Africa,57.979,27193105,50959878770,1874.0
158,Suriname,S. America,67.851,466846,2650284742,5677.0
159,Swaziland,Africa,48.68899999999999,1063832,4277668472,4021.0
160,Sweden,Europe,79.84,8860153,253754781920,28640.0
161,Switzerland,Europe,79.99,7167908,246475684488,34386.0
162,Syria,Asia,73.316,15988534,62914881290,3935.0
163,Taiwan,Asia,76.02,22183000,521855075000,23525.0
164,Tajikistan,Asia,63.57,6172807,6178979807,1001.0
165,Tanzania,Africa,50.01,34038161,28115520986,826.0
166,Thailand,Asia,70.921,63155029,352278751762,5578.0
167,Timor-Leste,Asia,59.468,830089,2276934127,2743.0
168,Togo,Africa,53.585,4793504,4266218560,890.0
169,Tonga,Oceania,70.81,97935,478510410,4886.0
170,Trinidad and Tobago,N. America,68.533,1292058,13561440768,10496.0
171,Tunisia,Africa,73.15899999999998,9456117,51819521160,5480.0
172,Turkey,Asia,70.01,63627862,432860345186,6803.0
173,Turkmenistan,Asia,63.925,4501419,14805167091,3289.0
174,Uganda,Africa,48.12600000000001,24213120,21331758720,881.0
175,Ukraine,Europe,67.79,48891792,180899630400,3700.0
176,United Arab Emirates,Asia,74.163,3033491,91041131892,30012.0
177,United Kingdom,Europe,78.04,58874117,1686390207348,28644.0
178,United States,N. America,76.8,282496310,11231488292980,39758.0
179,Uruguay,S. America,74.777,3319066,30176948072,9092.0
180,Uzbekistan,Asia,66.999,24775610,40508122350,1635.0
181,Vanuatu,Oceania,67.438,185074,696248388,3762.0
182,Venezuela,S. America,72.432,24348304,229701899936,9434.0
183,Vietnam,Asia,73.777,78758010,124201381770,1577.0
184,West Bank and Gaza,Asia,70.929,3198560,24264276160,7586.0
185,"Yemen, Rep.",Asia,60.404,17723186,39292303362,2217.0
186,Zambia,Africa,41.802,10201562,10558616670,1035.0
187,Zimbabwe,Africa,43.976000000000006,12509477,9319560365,745.0
